# DTStamp_FHdata_calc_t_look (time_lookahead_length) 2023-01-27 00:44:03 980469136 
# rtime[1], u[2], u_next[3], accn_csv_t[4], curr_accn_t[5], max_jerk[6], curr_frate[7], profile[8], t_look[9] eps[10] rho[11] min_tang_accn[12] max_tang_accn[13] 
    0.000000  0.000000000  0.000137224 30.000000000  0.000000000 200.000000000  0.000000000   0     0.000000  0.000000998698368     0.421053   -30.000000    30.000000 
    0.001000  0.000137224  0.000137219 30.000001514  8.433776284 200.000000000  0.008433776   0     0.103203  0.000000998769369     0.421098   -30.000002    30.000002 
    0.002000  0.000274443  0.000137206 30.000006054  1.461161564 200.000000000  0.009894938   0     0.024760  0.000000998708246     0.421235   -30.000006    30.000006 
    0.003000  0.000411648  0.000137183 30.000013620  1.675406359 200.000000000  0.011570344   0     0.027658  0.000000998515137     0.421463   -30.000014    30.000014 
    0.004000  0.000548831  0.000137151 30.000024211  1.913721321 200.000000000  0.013484066   0     0.030848  0.000000998190319     0.421782   -30.000024    30.000024 
    0.005000  0.000685982  0.000137110 30.000037823  2.177585975 200.000000000  0.015661652   0     0.034347  0.000000997734211     0.422192   -30.000038    30.000038 
    0.006000  0.000823093  0.000137061 30.000054453  2.468387246 200.000000000  0.018130039   0     0.038173  0.000000997147372     0.422693   -30.000054    30.000054 
    0.007000  0.000960153  0.000137002 30.000074097  2.787389974 200.000000000  0.020917429   0     0.042342  0.000000996430498     0.423285   -30.000074    30.000074 
    0.008000  0.001097155  0.000137190 30.000096749  3.135707099 200.000000000  0.024053136   0     0.046867  0.000000999300484     0.423969   -30.000097    30.000097 
    0.009000  0.001234345  0.000137113 30.000122455  3.572637439 200.000000000  0.027625773   0     0.052370  0.000000998320590     0.424745   -30.000122    30.000122 
    0.010000  0.001371458  0.000137027 30.000151168  3.939655678 200.000000000  0.031565429   0     0.057213  0.000000997212607     0.425612   -30.000151    30.000151 
    0.011000  0.001508485  0.000137188 30.000182880  4.383232742 200.000000000  0.035948662   0     0.062899  0.000000999693298     0.426571   -30.000183    30.000183 
    0.012000  0.001645674  0.000137085 30.000217651  4.944366855 200.000000000  0.040893029   0     0.069890  0.000000998325232     0.427623   -30.000218    30.000218 
    0.013000  0.001782758  0.000136973 30.000255415  5.387590699 200.000000000  0.046280619   0     0.075692  0.000000996832232     0.428767   -30.000255    30.000255 
