# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-01-27 00:44:03 980461186 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137224 -1.000000000  0.000000000  0.000000000000000000 -30.000000000   0.000000000  30.000000000  0.000000998698368     0.421053  0.000000000000000 
     1     0.001000  0.000137224  0.000137219 -0.999999950 -0.000317653 -0.000000000000000056 -30.000001514   8.433776284  30.000001514  0.000000998769369     0.421098  8.433776284076172 
     2     0.002000  0.000274443  0.000137206 -0.999999798 -0.000635295 -0.000000000000000111 -30.000006054   1.461161564  30.000006054  0.000000998708246     0.421235  1.461161563606159 
     3     0.003000  0.000411648  0.000137183 -0.999999546 -0.000952903  0.000000000000000000 -30.000013620   1.675406359  30.000013620  0.000000998515137     0.421463  1.675406359265873 
     4     0.004000  0.000548831  0.000137151 -0.999999193 -0.001270455  0.000000000000000000 -30.000024211   1.913721321  30.000024211  0.000000998190319     0.421782  1.913721321177935 
     5     0.005000  0.000685982  0.000137110 -0.999998739 -0.001587929  0.000000000000000000 -30.000037823   2.177585975  30.000037823  0.000000997734211     0.422192  2.177585975408711 
     6     0.006000  0.000823093  0.000137061 -0.999998185 -0.001905304  0.000000000000000000 -30.000054453   2.468387246  30.000054453  0.000000997147372     0.422693  2.468387246252816 
     7     0.007000  0.000960153  0.000137002 -0.999997530 -0.002222557  0.000000000000000444 -30.000074097   2.787389974  30.000074097  0.000000996430498     0.423285  2.787389973542772 
     8     0.008000  0.001097155  0.000137190 -0.999996775 -0.002539666  0.000000000000000444 -30.000096749   3.135707099  30.000096749  0.000000999300484     0.423969  3.135707098834883 
     9     0.009000  0.001234345  0.000137113 -0.999995918 -0.002857201  0.000000000000000000 -30.000122455   3.572637439  30.000122455  0.000000998320590     0.424745  3.572637439390395 
    10     0.010000  0.001371458  0.000137027 -0.999994961 -0.003174550  0.000000000000000000 -30.000151168   3.939655678  30.000151168  0.000000997212607     0.425612  3.939655678398674 
    11     0.011000  0.001508485  0.000137188 -0.999993904 -0.003491689  0.000000000000000000 -30.000182880   4.383232742  30.000182880  0.000000999693298     0.426571  4.383232741971284 
    12     0.012000  0.001645674  0.000137085 -0.999992745 -0.003809189  0.000000000000000000 -30.000217651   4.944366855  30.000217651  0.000000998325232     0.427623  4.944366855200714 
    13     0.013000  0.001782758  0.000136973 -0.999991486 -0.004126436  0.000000000000000888 -30.000255415   5.387590699  30.000255415  0.000000996832232     0.428767  5.387590699384985 
    14     0.014000  0.001919731  0.000137107 -0.999990128 -0.004443411  0.000000000000000000 -30.000296163   5.929588370  30.000296163  0.000000998926600     0.430003  5.929588370073096 
    15     0.015000  0.002056839  0.000136978 -0.999988668 -0.004760681  0.000000000000000000 -30.000339967   6.624795977  30.000339967  0.000000997178852     0.431332  6.624795977232707 
    16     0.016000  0.002193817  0.000137095 -0.999987109 -0.005077635  0.000000000000000000 -30.000386743   7.134027619  30.000386743  0.000000999019502     0.432754  7.134027619127924 
    17     0.017000  0.002330911  0.000136948 -0.999985448 -0.005394843  0.000000000000000000 -30.000436574   7.922051345  30.000436574  0.000000997021213     0.434270  7.922051344887007 
    18     0.018000  0.002467860  0.000137048 -0.999983688 -0.005711693  0.000000000000000000 -30.000489364   8.465685405  30.000489364  0.000000998610972     0.435879  8.465685404985186 
    19     0.019000  0.002604907  0.000136884 -0.999981827 -0.006028754  0.000000000000000000 -30.000545203   9.345942139  30.000545203  0.000000996367324     0.437582  9.345942139301579 
    20     0.020000  0.002741792  0.000136967 -0.999979868 -0.006345417 -0.000000000000001776 -30.000603983   9.911846377  30.000603983  0.000000997710001     0.439379  9.911846376953608 
    21     0.021000  0.002878759  0.000137041 -0.999977807 -0.006662249  0.000000000000000000 -30.000665806  10.881504277  30.000665806  0.000000998929817     0.441271 10.881504277231224 
